userId,movieId,tag,timestamp,title,genres
2,60756,funny,1445714994,Step Brothers (2008),Comedy
2,60756,Highly quotable,1445714996,Step Brothers (2008),Comedy
2,60756,will ferrell,1445714992,Step Brothers (2008),Comedy
62,60756,comedy,1528934384,Step Brothers (2008),Comedy
62,60756,funny,1528934381,Step Brothers (2008),Comedy
62,60756,will ferrell,1528934379,Step Brothers (2008),Comedy
424,60756,funny,1457846127,Step Brothers (2008),Comedy
424,60756,will ferrell,1457846129,Step Brothers (2008),Comedy
2,89774,Boxing story,1445715207,Warrior (2011),Drama
2,89774,MMA,1445715200,Warrior (2011),Drama
2,89774,Tom Hardy,1445715205,Warrior (2011),Drama
2,106782,drugs,1445715054,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama
2,106782,Leonardo DiCaprio,1445715051,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama
2,106782,Martin Scorsese,1445715056,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama
537,106782,Stock Market,1424142693,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama
537,106782,Wall Street,1424142688,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama
7,48516,way too long,1169687325,"Departed, The (2006)",Crime|Drama|Thriller
357,48516,Leonardo DiCaprio,1348627149,"Departed, The (2006)",Crime|Drama|Thriller
357,48516,suspense,1348627152,"Departed, The (2006)",Crime|Drama|Thriller
357,48516,twist ending,1348627154,"Departed, The (2006)",Crime|Drama|Thriller
357,48516,undercover cop,1348627156,"Departed, The (2006)",Crime|Drama|Thriller
424,48516,atmospheric,1457843188,"Departed, The (2006)",Crime|Drama|Thriller
424,48516,Jack Nicholson,1457843173,"Departed, The (2006)",Crime|Drama|Thriller
424,48516,Leonardo DiCaprio,1457843178,"Departed, The (2006)",Crime|Drama|Thriller
424,48516,Martin Scorsese,1457843176,"Departed, The (2006)",Crime|Drama|Thriller
424,48516,suspense,1457843184,"Departed, The (2006)",Crime|Drama|Thriller
18,431,Al Pacino,1462138765,Carlito's Way (1993),Crime|Drama
18,431,gangster,1462138749,Carlito's Way (1993),Crime|Drama
18,431,mafia,1462138755,Carlito's Way (1993),Crime|Drama
18,1221,Al Pacino,1461699306,"Godfather: Part II, The (1974)",Crime|Drama
18,1221,Mafia,1461699303,"Godfather: Part II, The (1974)",Crime|Drama
474,1221,Mafia,1137181066,"Godfather: Part II, The (1974)",Crime|Drama
18,5995,holocaust,1455735472,"Pianist, The (2002)",Drama|War
18,5995,true story,1455735479,"Pianist, The (2002)",Drama|War
474,5995,Holocaust,1137181562,"Pianist, The (2002)",Drama|War
18,44665,twist ending,1456948283,Lucky Number Slevin (2006),Crime|Drama|Mystery
18,52604,Anthony Hopkins,1457650696,Fracture (2007),Crime|Drama|Mystery|Thriller
18,52604,courtroom drama,1457650711,Fracture (2007),Crime|Drama|Mystery|Thriller
18,52604,twist ending,1457650682,Fracture (2007),Crime|Drama|Mystery|Thriller
18,88094,britpop,1457444500,Upside Down: The Creation Records Story (2010),Documentary
18,88094,indie record label,1457444592,Upside Down: The Creation Records Story (2010),Documentary
18,88094,music,1457444609,Upside Down: The Creation Records Story (2010),Documentary
18,144210,dumpster diving,1455060381,Just Eat It: A Food Waste Story (2014),Documentary
18,144210,Sustainability,1455060452,Just Eat It: A Food Waste Story (2014),Documentary
21,1569,romantic comedy,1419805413,My Best Friend's Wedding (1997),Comedy|Romance
21,1569,wedding,1419805419,My Best Friend's Wedding (1997),Comedy|Romance
474,1569,weddings,1138031775,My Best Friend's Wedding (1997),Comedy|Romance
21,118985,painter,1419805477,Big Eyes (2014),Drama
21,119141,bloody,1419793962,The Interview (2014),Action|Comedy
62,119141,bromance,1525555146,The Interview (2014),Action|Comedy
62,119141,comedy,1525555138,The Interview (2014),Action|Comedy
62,119141,funny,1525555129,The Interview (2014),Action|Comedy
62,119141,James Franco,1525555132,The Interview (2014),Action|Comedy
62,119141,Seth Rogen,1525555127,The Interview (2014),Action|Comedy
49,109487,black hole,1493093306,Interstellar (2014),Sci-Fi|IMAX
49,109487,sci-fi,1493093332,Interstellar (2014),Sci-Fi|IMAX
49,109487,time-travel,1493093356,Interstellar (2014),Sci-Fi|IMAX
424,109487,Christopher Nolan,1457901805,Interstellar (2014),Sci-Fi|IMAX
424,109487,sci-fi,1457901808,Interstellar (2014),Sci-Fi|IMAX
424,109487,time-travel,1457901811,Interstellar (2014),Sci-Fi|IMAX
567,109487,bad dialogue,1525287562,Interstellar (2014),Sci-Fi|IMAX
567,109487,philosophical issues,1525287571,Interstellar (2014),Sci-Fi|IMAX
567,109487,thought-provoking,1525287567,Interstellar (2014),Sci-Fi|IMAX
567,109487,visually appealing,1525287559,Interstellar (2014),Sci-Fi|IMAX
62,2,fantasy,1528843929,Jumanji (1995),Adventure|Children|Fantasy
62,2,magic board game,1528843932,Jumanji (1995),Adventure|Children|Fantasy
62,2,Robin Williams,1528843907,Jumanji (1995),Adventure|Children|Fantasy
474,2,game,1137375552,Jumanji (1995),Adventure|Children|Fantasy
62,110,beautiful scenery,1528152541,Braveheart (1995),Action|Drama|War
62,110,epic,1528152532,Braveheart (1995),Action|Drama|War
62,110,historical,1528152523,Braveheart (1995),Action|Drama|War
62,110,inspirational,1528152527,Braveheart (1995),Action|Drama|War
62,110,Medieval,1528152528,Braveheart (1995),Action|Drama|War
62,110,mel gibson,1528152521,Braveheart (1995),Action|Drama|War
62,110,Oscar (Best Cinematography),1528152539,Braveheart (1995),Action|Drama|War
62,110,revenge,1528152531,Braveheart (1995),Action|Drama|War
62,110,sword fight,1528152535,Braveheart (1995),Action|Drama|War
474,110,Scotland,1137180974,Braveheart (1995),Action|Drama|War
62,410,black comedy,1525636607,Addams Family Values (1993),Children|Comedy|Fantasy
62,410,Christina Ricci,1525636685,Addams Family Values (1993),Children|Comedy|Fantasy
62,410,Christopher Lloyd,1525636622,Addams Family Values (1993),Children|Comedy|Fantasy
62,410,dark comedy,1525636610,Addams Family Values (1993),Children|Comedy|Fantasy
62,410,family,1525636708,Addams Family Values (1993),Children|Comedy|Fantasy
62,410,gothic,1525636609,Addams Family Values (1993),Children|Comedy|Fantasy
62,2023,Al Pacino,1525636728,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller
62,2023,Andy Garcia,1525636768,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller
